Brand,Model,Year,Kilometres_Driven,Fuel_Type,Transmission,Owner_Count,Engine_CC,Mileage_kmpl,Selling_Price
Ford,EcoSport,2025,22181,Petrol,Manual,1,1550.8,16.2,622000.0
Mahindra,Bolero,2012,185184,Diesel,Automatic,1,1566.5,16.4,60000.0
Audi,A4,2021,56897,Petrol,Manual,1,2040.6,16.4,1263000.0
Audi,Q3,2015,139513,Diesel,Manual,1,2073.1,17.3,351000.0
Audi,A6,2015,131007,Diesel,Manual,3,1919.2,13.8,422000.0
Toyota,Fortuner,2024,22772,Petrol,Manual,1,2884.4,10.6,2055000.0
Toyota,Fortuner,2025,8927,Petrol,Automatic,1,2694.6,10.1,2496000.0
Maruti,Swift,2017,100333,Petrol,Manual,1,1138.8,20.7,85000.0
Honda,City,2021,63342,Petrol,Automatic,2,1472.7,16.2,386000.0
BMW,3 Series,2013,156012,Diesel,Manual,2,1974.6,17.6,277000.0
Tata,Harrier,2017,112713,Petrol,Manual,1,1879.3,14.8,267000.0
Toyota,Innova Crysta,2014,161517,CNG,Manual,2,2454.2,14.3,118000.0
Volkswagen,Taigun,2016,127344,Petrol,Manual,2,970.9,17.8,143000.0
Kia,Carens,2022,60173,Petrol,Automatic,1,1519.1,14.9,497000.0
Honda,WR-V,2016,103758,Petrol,Manual,2,1564.3,16.9,108000.0
Audi,Q5,2011,187764,Petrol,Manual,1,2022.9,14.0,245000.0
BMW,3 Series,2021,65481,Petrol,Manual,3,1946.0,15.0,1123000.0
Mahindra,XUV300,2017,132705,Diesel,Manual,3,1181.2,17.4,122000.0
Volkswagen,Taigun,2011,185224,Diesel,Automatic,2,971.1,18.9,68000.0
Toyota,Urban Cruiser,2017,103423,Petrol,Automatic,2,1525.8,17.3,155000.0
Audi,A6,2017,127978,Petrol,Manual,4,1987.3,13.4,557000.0
Tata,Punch,2021,68170,Petrol,Manual,2,1240.6,20.2,223000.0
Maruti,Ertiga,2021,71831,Petrol,Automatic,3,1430.4,18.3,298000.0
Honda,Civic,2023,55308,Petrol,Automatic,1,1767.6,17.3,857000.0
Ford,Figo,2011,188344,Petrol,Manual,1,1204.7,20.3,40000.0
BMW,X1,2021,49907,Diesel,Manual,1,1993.5,15.3,1310000.0
Honda,Civic,2013,160907,Petrol,Automatic,3,1880.5,15.9,103000.0
Honda,Civic,2011,186524,Petrol,Manual,1,1757.3,16.5,79000.0
Kia,Carens,2016,130040,Petrol,Manual,4,1443.1,16.6,111000.0
Maruti,Swift,2019,103103,Diesel,Manual,1,1234.0,23.4,122000.0
Kia,Carens,2019,79533,Petrol,Manual,1,1554.9,14.9,272000.0
Ford,Figo,2016,128959,Petrol,Manual,4,1234.5,19.8,46000.0
Kia,Sonet,2025,9855,Petrol,Automatic,1,1211.7,16.9,702000.0
