Brand,Model,Year,Kilometres_Driven,Fuel_Type,Transmission,Owner_Count,Engine_CC,Mileage_kmpl,Selling_Price
Maruti,Swift,2014,145500.0,Diesel,Manual,1,1248.0,23.4,450000.0
Skoda,Rapid,2014,120000.0,Diesel,Manual,2,1498.0,21.14,370000.0
Honda,City,2006,140000.0,Petrol,Manual,3,1497.0,17.7,158000.0
Hyundai,i20,2010,127000.0,Diesel,Manual,1,1396.0,23.0,225000.0
Maruti,Swift,2007,120000.0,Petrol,Manual,1,1298.0,16.1,130000.0
Hyundai,Xcent,2017,45000.0,Petrol,Manual,1,1197.0,20.14,440000.0
Maruti,Wagon,2007,175000.0,LPG,Manual,1,1061.0,17.3,96000.0
Maruti,800,2001,5000.0,Petrol,Manual,2,796.0,16.1,45000.0
Toyota,Etios,2011,90000.0,Diesel,Manual,1,1364.0,23.59,350000.0
Ford,Figo,2013,169000.0,Diesel,Manual,1,1399.0,20.0,200000.0
Renault,Duster,2014,68000.0,Diesel,Manual,2,1461.0,19.01,500000.0
Maruti,Zen,2005,100000.0,Petrol,Manual,2,993.0,17.3,92000.0
Maruti,Swift,2009,140000.0,Diesel,Manual,2,1248.0,19.3,280000.0
Maruti,Swift,2007,80000.0,Petrol,Manual,2,1197.0,21.21,200000.0
Maruti,Wagon,2009,90000.0,Petrol,Manual,2,1061.0,18.9,180000.0
Mahindra,KUV,2016,40000.0,Petrol,Manual,1,1198.0,18.15,400000.0
Maruti,Ertiga,2016,70000.0,Diesel,Manual,2,1248.0,24.52,778000.0
Hyundai,i20,2012,53000.0,Diesel,Manual,2,1396.0,23.0,500000.0
Maruti,Alto,2002,80000.0,Petrol,Manual,2,796.0,19.7,150000.0
Hyundai,i20,2016,100000.0,Diesel,Manual,1,1396.0,22.54,680000.0
Mahindra,Verito,2011,100000.0,Diesel,Manual,2,1461.0,21.0,174000.0
Honda,WR-V,2017,50000.0,Diesel,Manual,1,1498.0,25.5,950000.0
Maruti,Swift,2015,40000.0,Diesel,Manual,1,1248.0,26.59,525000.0
Maruti,SX4,2012,72000.0,Diesel,Manual,1,1248.0,21.5,600000.0
Tata,Tigor,2018,35000.0,Petrol,Manual,1,1199.0,20.3,500000.0
Maruti,Baleno,2016,45000.0,Petrol,Manual,1,1197.0,21.4,575000.0
Maruti,Alto,2017,28000.0,Petrol,Manual,1,796.0,24.7,275000.0
Chevrolet,Enjoy,2013,70000.0,Diesel,Manual,1,1248.0,18.2,300000.0
Maruti,Wagon,2009,120000.0,Petrol,Manual,1,1061.0,18.9,220000.0
Maruti,Omni,2018,25000.0,Petrol,Manual,1,796.0,16.8,254999.0
Maruti,Vitara,2017,70000.0,Diesel,Manual,1,1248.0,24.3,670000.0
Fiat,Palio,2003,50000.0,Petrol,Manual,2,1248.0,20.3,70000.0
Maruti,Omni,2012,35000.0,Petrol,Manual,2,796.0,14.0,150000.0
Hyundai,i20,2018,2388.0,Petrol,Manual,1,1197.0,18.6,730000.0
Maruti,Vitara,2017,16200.0,Diesel,Manual,1,1248.0,24.3,650000.0
Maruti,Alto,2019,10000.0,CNG,Manual,2,796.0,33.44,330000.0
Maruti,Alto,2019,15000.0,Petrol,Manual,1,998.0,23.95,366000.0
Hyundai,Verna,2019,5000.0,Petrol,Manual,1,1591.0,17.0,1149000.0
Datsun,GO,2016,42000.0,Petrol,Manual,1,1198.0,20.63,150000.0
Tata,Safari,2011,60000.0,Diesel,Manual,2,2179.0,13.93,425000.0
Maruti,800,2012,76000.0,Petrol,Manual,1,796.0,16.1,150000.0
Jeep,Compass,2019,5000.0,Petrol,Automatic,1,1368.0,16.0,2100000.0
Honda,City,2018,28900.0,Petrol,Manual,1,1497.0,17.8,925000.0
Honda,City,2013,86300.0,Petrol,Manual,1,1497.0,16.8,425000.0
