Brand,Model,Year,Kilometres_Driven,Fuel_Type,Transmission,Owner_Count,Engine_CC,Mileage_kmpl,Selling_Price
Maruti,Ritz,2014,27000.0,Petrol,Manual,0,1197.0,18.6,335000.0
Maruti,SX4,2013,43000.0,Diesel,Manual,0,1586.0,15.6,475000.0
Maruti,Ciaz,2017,6900.0,Petrol,Manual,0,1462.0,20.6,725000.0
Maruti,Wagon R,2011,5200.0,Petrol,Manual,0,998.0,21.8,285000.0
Maruti,Swift,2014,42450.0,Diesel,Manual,0,1197.0,22.0,460000.0
Maruti,Vitara Brezza,2018,2071.0,Diesel,Manual,0,1462.0,18.7,925000.0
Maruti,Ciaz,2015,18796.0,Petrol,Manual,0,1462.0,20.6,675000.0
Maruti,S-Cross,2015,33429.0,Diesel,Manual,0,1498.0,18.5,650000.0
Maruti,Ciaz,2016,20273.0,Diesel,Manual,0,1462.0,20.6,875000.0
Maruti,Ciaz,2015,42367.0,Diesel,Manual,0,1462.0,20.6,745000.0
Maruti,Alto 800,2017,2135.0,Petrol,Manual,0,796.0,22.05,285000.0
Maruti,Ciaz,2015,51000.0,Diesel,Manual,0,1462.0,20.6,685000.0
Maruti,Ciaz,2015,15000.0,Petrol,Automatic,0,1462.0,20.6,750000.0
Maruti,Ertiga,2015,26000.0,Petrol,Manual,0,1462.0,19.0,610000.0
Maruti,Dzire,2009,77427.0,Petrol,Manual,0,1197.0,23.2,225000.0
Maruti,Ertiga,2016,43000.0,Diesel,Manual,0,1462.0,19.0,775000.0
Maruti,Ertiga,2015,41678.0,Diesel,Manual,0,1462.0,19.0,725000.0
Maruti,Ertiga,2016,43000.0,Diesel,Manual,0,1462.0,19.0,775000.0
Maruti,Wagon R,2015,35500.0,CNG,Manual,0,998.0,21.8,325000.0
Maruti,SX4,2010,41442.0,Petrol,Manual,0,1586.0,15.6,265000.0
Maruti,Alto K10,2016,25000.0,Petrol,Manual,0,998.0,24.3,285000.0
Maruti,Ignis,2017,2400.0,Petrol,Manual,0,1197.0,20.8,490000.0
Maruti,SX4,2011,50000.0,Petrol,Automatic,0,1586.0,15.6,440000.0
Maruti,Alto K10,2014,45280.0,Petrol,Manual,0,998.0,24.3,250000.0
Maruti,Wagon R,2013,56879.0,Petrol,Manual,0,998.0,21.8,290000.0
Maruti,Swift,2011,20000.0,Petrol,Manual,0,1197.0,22.0,300000.0
Maruti,Swift,2013,55138.0,Petrol,Manual,0,1197.0,22.0,415000.0
Maruti,Swift,2017,16200.0,Petrol,Manual,0,1197.0,22.0,600000.0
Maruti,Alto K10,2010,44542.0,Petrol,Manual,0,998.0,24.3,195000.0
Maruti,Ciaz,2015,45000.0,Diesel,Manual,0,1462.0,20.6,745000.0
Maruti,Ritz,2012,51439.0,Diesel,Manual,0,1197.0,18.6,310000.0
Maruti,Ritz,2011,54200.0,Petrol,Manual,0,1197.0,18.6,235000.0
Maruti,Swift,2014,39000.0,Diesel,Manual,0,1197.0,22.0,495000.0
